7zip 26.02-1
tmux 3.7_c-1
totem-pl-parser 3.26.7-1
tpm2-tss 4.2.0-2
tslib 1.24-1
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-liberation 2.1.5-2
twolame 0.4.0-4
tzdata 2026c-1
uchardet 0.0.8-4
udisks2 2.11.2-1
ufw 0.36.2-7
unzip 6.0-23
upower 1.91.3-1
usbmuxd 1.1.1-4
usbredir 0.15.0-1
usbutils 019-1
util-linux 2.42.2-1
util-linux-libs 2.42.2-1
v4l-utils 1.32.0-2
vapoursynth 77-2
vde2 2.3.3-9
vid.stab 1.1.1-3
vim 9.2.1011-1
vim-runtime 9.2.1011-1
virtiofsd 1.14.0-1
visual-studio-code-bin 1.134.0-1
vmaf 3.2.0-1
volume_key 0.3.12-12
vte-common 0.84.1-1
vte4 0.84.1-1
vulkan-icd-loader 1.4.357.0-1
vulkan-mesa-implicit-layers 1:26.2.1-1
vulkan-radeon 1:26.2.1-1
wavpack 5.9.0-1
waydroid 1.6.3-1
wayland 1.26.0-1
webkit2gtk-4.1 2.52.6-1
webkitgtk-6.0 2.52.6-1
webrtc-audio-processing-1 1.3-5
wev 1.1.0-1
wget 1.25.0-6
which 2.25-1
whisper-cpp 1.9.1-2
wildmidi 0.5.0-1
wine 11.16-1
wireplumber 0.5.15-1
wl-clipboard 1:2.3.0-1
woff2 1.0.2-6
wolfssl 5.9.2-1
wpa_supplicant 2:2.12-1
wsdd 0.9-2
wtype 0.4-2
x264 3:0.165.r3222.b35605a-2
x265 4.3-1
xapp 3.2.2-1
xapp-symbolic-icons 1.1.0-1
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xdg-dbus-proxy 0.1.8-1
xdg-desktop-portal 1.22.1-2
xdg-desktop-portal-gnome 50.0-1
xdg-desktop-portal-gtk 1.15.3-1
xdg-user-dirs 0.20-1
xdg-user-dirs-gtk 0.16-1
xdg-utils 1.2.1-2
xf86-video-amdgpu 25.0.0-1
xf86-video-ati 1:22.0.0-3
xkeyboard-config 2.48-1
xnviewmp 1.11.5-1
xorg-fonts-encodings 1.1.0-2
xorg-server-common 21.1.24-1
xorg-setxkbmap 1.3.5-1
xorg-xkbcomp 1.5.0-1
xorg-xmodmap 1.0.12-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.4-1
xorg-xwayland 24.1.13-1
xorgproto 2025.1-1
xpadneo-dkms 0.10.4-1
xvidcore 1.3.7-4
xxhash 0.8.3-1
xz 5.8.3-1
yay 13.0.1-1
yay-debug 13.0.1-1
ydotool 1.0.4-2
yelp 49.2-1
yelp-xsl 49.0-1
yoga 3.2.1-1
zbar 0.23.93-7
zenity 4.2.2-1
zeromq 4.3.5-3
zimg 3.0.6-2
zint 2.16.0-2
zix 0.8.2-1
zlib 1:1.3.2-3
zlib-ng 2.3.3-1
zram-generator 1.2.1-1
zstd 1.5.7-3
zvbi 0.2.44-1
zxing-cpp 3.1.1-1
